Vtip,Mtip,Coll,CT,CQ,Ideal CP,FM,CT/CP
1125,1,2.2,0.007786,0.001066,0.002839,0.4557,7.3
1130,1,8,0.016282,0.002223,0.008585,0.6611,7.33
1125,1,8,0.014984,0.001954,0.007579,0.6639,7.67
1134,1,10,0.020184,0.002963,0.01185,0.6843,6.81
1127,1,10,0.019361,0.002732,0.011132,0.6973,7.09
1136,1,10.4,0.020159,0.002904,0.011827,0.697,6.94
1136,1,10.4,0.020369,0.002943,0.012013,0.6985,6.92
1132,1,10.4,0.020224,0.002973,0.011885,0.6841,6.8
1138,1,10.5,0.019962,0.002886,0.011654,0.6912,6.92
1139,1,10.5,0.020297,0.002911,0.011949,0.7026,6.97
1143,1,10.5,0.020333,0.002913,0.011981,0.704,6.98
1136,1,1,0.020369,0.002969,0.012013,0.6925,6.86
1127,1,12,0.022984,0.003573,0.014399,0.6896,6.43
