fuel_weight_kg,wing_loading_kg_m2,range_km,mtom_kg
7.725023590896479675e+01,1.033170707949150255e+02,2.505077169064877580e+02,4.980367257228896051e+03
7.256371558942132083e+01,2.027734805204470945e+02,3.179299088239066577e+02,3.992054498526518728e+03
5.221861483834997841e+01,1.213549727580186470e+02,1.928110613047251434e+02,4.574848233942345360e+03
8.504598125651128271e+01,1.238553205969794675e+02,3.052897792867564135e+02,4.786844152145876251e+03
6.462162669340729337e+01,1.535794069814443503e+02,2.686865948077045800e+02,4.254855302211146409e+03
9.914352121390288630e+01,1.801925522218065225e+02,3.962120463953442595e+02,4.482364282844279842e+03
1.389507162970318745e+02,1.361686323974400921e+02,5.938139152316300624e+02,4.187140659188023164e+03
1.380564436790179741e+02,2.162360640393269477e+02,6.007655600078637690e+02,4.060477709655252056e+03
7.510728776871577850e+01,1.862101215640138037e+02,3.339167244857317769e+02,3.987098248229875026e+03
1.155002846333597404e+02,1.172410131458147760e+02,4.388770638157163262e+02,4.494260842807066183e+03
1.004971300271685948e+02,1.252182457725498779e+02,4.174776696256304831e+02,4.170411202367619808e+03
6.343744220658654598e+01,1.391750773106501526e+02,2.469564206681269241e+02,4.490076651392198073e+03
6.011917217911123146e+01,1.302827940111941416e+02,2.209234613720645655e+02,4.695006015701203069e+03
1.240831607306545266e+02,1.046525143436058016e+02,4.088913610452834178e+02,4.996780225797175262e+03
9.540108951963539141e+01,1.819593619403999583e+02,4.112745572077153042e+02,4.148556991047371412e+03
1.406123652084646096e+02,1.051318759934107732e+02,4.849912257607544461e+02,4.805710366855670145e+03
6.691520530499273889e+01,1.365375068577601780e+02,2.649266585547729278e+02,4.404406323502628766e+03
9.946081502349923653e+01,2.278017755457039755e+02,4.298172179272038989e+02,3.976257882802698987e+03
6.976427418949261039e+01,1.039512542290319743e+02,2.540773787108332158e+02,4.426046533393759091e+03
9.394572992548930301e+01,1.096046036942415185e+02,3.624218818880253821e+02,4.299222277930830387e+03
5.609856532540363361e+01,1.025876654880912753e+02,1.734639668548842337e+02,5.183680334571807180e+03
5.463159509467568853e+01,1.204489057993225458e+02,2.105466588160387857e+02,4.374442044040994006e+03
1.307636122252554003e+02,2.095794758719545143e+02,5.571013281440542642e+02,4.162602320641697588e+03
1.462517244008736839e+02,1.227103112503537261e+02,5.545266951110423861e+02,4.609795922651868750e+03
1.139883422200386320e+02,1.122437666574140280e+02,4.350411603181303235e+02,4.410959409814887294e+03
6.920986334650493177e+01,1.233318564150152383e+02,2.712427406105964565e+02,4.351757979803530361e+03
8.042409060224839834e+01,1.614236835431449038e+02,3.535322406015130809e+02,4.060345148204097768e+03
1.260267999076667280e+02,1.283338298522444916e+02,4.979684813500165887e+02,4.445407358305143134e+03
7.798432008046370356e+01,1.484862187090369900e+02,3.007776087140198342e+02,4.596432068500724199e+03
1.060027735059017147e+02,1.166976608889168006e+02,4.240712737946626021e+02,4.252204083166939199e+03
8.608835642863563464e+01,1.810627745847352230e+02,3.787374544645683727e+02,4.054732647551813443e+03
1.444139547970261503e+02,1.746838697516591594e+02,6.161660339536996389e+02,4.274313138754570900e+03
1.356772903032962461e+02,1.920709692222142166e+02,5.693143474813311968e+02,4.295702721329822452e+03
1.277670772798715433e+02,1.473702460153722313e+02,5.419104717133312761e+02,4.249176985141158184e+03
1.320016449372954241e+02,1.184944411252133278e+02,5.280125659491204715e+02,4.311157135086376911e+03
9.211136759877476266e+01,2.252999661782265548e+02,3.834838158706546096e+02,4.125691329270297501e+03
1.014261407379249391e+02,1.526687244050137906e+02,4.359375877045661696e+02,4.169584862130132024e+03
6.198365270650357672e+01,1.111081232293137191e+02,2.338234012485892492e+02,4.367520910994812766e+03
1.455766086889271094e+02,2.016017575050435937e+02,6.196837587790366797e+02,4.219236741196820731e+03
1.359357774118165594e+02,1.841364939927884734e+02,5.651265170951165828e+02,4.355858465384913870e+03
1.210064241421335254e+02,1.826310631720193669e+02,5.144460449652340230e+02,4.242486591718186901e+03
6.186339105692788820e+01,1.587253641751139241e+02,2.620073467159581924e+02,4.181632234016496113e+03
7.671661294434147749e+01,2.112259219116039901e+02,3.368401879943438644e+02,3.957312697540184217e+03
5.907344231151551384e+01,2.256340484915934894e+02,2.487477007326438923e+02,4.029646819284992944e+03
5.579214418327209302e+01,1.838837396758158889e+02,2.426268579438240920e+02,4.050846140818740423e+03
1.092283115077794946e+02,1.147816294525650278e+02,4.093927119034975135e+02,4.516301663109436049e+03
5.338045252649596506e+01,2.003705757634276097e+02,2.116436000961704451e+02,4.391020796340179004e+03
5.761484766685662606e+01,1.478610406095534699e+02,2.366855063205985346e+02,4.280439834710588002e+03
1.257974716301097828e+02,1.713285197116635459e+02,5.312750954305552114e+02,4.292249581743545605e+03
1.504907081861567235e+02,1.205166673244001743e+02,5.853608843659541208e+02,4.479831510569391867e+03
1.337875659576694432e+02,2.208652146549793258e+02,5.784676048179524059e+02,4.058029971363409459e+03
5.191781174635431739e+01,2.227955932730537825e+02,1.938974302614845442e+02,4.554504520989437879e+03
1.087443909134188971e+02,1.118464673902298472e+02,3.674749419403737534e+02,4.969333226865055622e+03
1.275163886570446721e+02,1.846336693328590570e+02,5.341062839050497359e+02,4.310433438325596398e+03
6.942090297110721053e+01,1.570039394125885792e+02,2.994125372696668137e+02,4.115675943046964676e+03
8.622849786391947191e+01,1.332999346261929929e+02,3.607572976301480026e+02,4.178119495217451004e+03
1.212392305744225638e+02,1.406643001559306185e+02,4.869462153527156261e+02,4.445133175747567293e+03
9.130161426448425743e+01,1.106856041516037692e+02,3.555825368321972633e+02,4.269705392005619615e+03
7.843897213341226404e+01,1.577166917497049496e+02,3.304364451817293684e+02,4.227485592171865392e+03
7.284795881270508744e+01,1.218270835263555227e+02,2.705965197061370873e+02,4.583634733994252201e+03
1.054473416163465345e+02,1.733657384439169107e+02,4.637507704127846182e+02,4.094604721272615279e+03
6.601331754961803711e+01,1.904251046256590882e+02,2.745856577405166945e+02,4.234042832888647354e+03
9.189665228801564467e+01,1.519881969065755527e+02,3.748431582474768788e+02,4.374673572659146885e+03
1.465894655329058480e+02,1.699674095067097710e+02,6.274135517364773023e+02,4.268074726268790073e+03
1.520001553600675379e+02,1.297997593571451205e+02,6.206651013754909627e+02,4.354298658626951692e+03
5.323530839145863780e+01,1.740911529838126626e+02,2.032236038710673256e+02,4.634878190415054632e+03
6.499683471845260385e+01,2.306959563149065673e+02,2.733731209170338161e+02,4.016885362465290655e+03
9.247467876221998040e+01,1.285408849441971881e+02,3.713836385327464882e+02,4.326016294957137688e+03
1.298450191618051122e+02,1.056740493375247638e+02,4.245488718851224803e+02,5.064870283574452515e+03
1.093601928454848178e+02,1.279950648142966259e+02,4.571991204108804254e+02,4.179539613734512386e+03
1.135723440035460641e+02,2.406134393296313192e+02,4.907763912380715965e+02,3.930374031763411494e+03
8.787719064913066802e+01,1.062777210934748098e+02,3.303803475985235991e+02,4.351996995752914700e+03
1.000826829538521423e+02,1.658090069893763712e+02,4.215866899649534503e+02,4.266211490988515834e+03
6.740446875405596927e+01,1.041643351229383399e+02,2.320194529819744105e+02,4.685585583377385774e+03
5.424168969193137713e+01,1.383208709878341551e+02,1.969651415731181885e+02,4.802865970337627914e+03
