HRI Fuselage2
T1-100.0 m/s-TriUniform-Thick
Freestream speed = 100.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0     -0.77588     0.082395     0.044957     0.037438   -0.0015811       1.9779     0.018341       1.9595    0.0015868   -0.0022773   1.6081e-05   -0.0022934      -9.4166      -8.2945            0  -1.0931e+05        11608       -13787      -222.74  -1.0856e+05       -10917      -445.89  -1.0487e+05       4930.8            0            0       99.441      -7.5955          100      -6.0618       1105.7   3.6803e+05      -2391.1      -2.0247   3.8792e-06     -0.62339       -18521  -4.2472e+05   1.1608e+06       2.5915       1.5709            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -9            0     -0.70628     0.075941     0.044347     0.031594   -0.0017637       1.8878     0.016806        1.871    0.0015077   -0.0023304   1.7021e-05   -0.0023474      -9.3003      -7.8161            0       -99500        10699       -11169      -248.47       -98972      -8645.2      -450.31       -95584       4930.8            0            0       99.427      -8.0605          100       -6.137       1065.3   3.5128e+05      -2409.4      -2.1307   3.9401e-06     -0.66238       -15919  -4.5072e+05   1.0699e+06       2.5446       1.5049            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -8            0     -0.63614     0.070049     0.043811     0.026238   -0.0019429       1.7942     0.015471       1.7787    0.0014298   -0.0023849   1.7335e-05   -0.0024022      -9.0813      -7.2431            0       -89618       9868.5        -8812      -273.72       -89261      -6612.2      -454.93       -86189       4930.8            0            0       99.399      -8.6981          100      -6.2839         1027   3.3386e+05      -2431.4      -2.2597   4.0024e-06     -0.70944       -13292  -4.8637e+05   9.8685e+05       2.4856       1.4375            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -7            0     -0.56549     0.064786     0.043398     0.021388   -0.0021185       1.6972     0.014421       1.6828    0.0013532   -0.0024412   1.6644e-05   -0.0024579      -8.7287      -6.5639            0       -79666       9126.9      -6718.2      -298.45       -79439      -4820.1      -459.75       -76693       4930.8            0            0        99.35      -9.5981          100      -6.5356       990.93    3.158e+05      -2457.3      -2.4208    4.072e-06     -0.76774       -10644   -5.367e+05   9.1269e+05       2.4097       1.3689            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -6            0      -0.4944     0.059571     0.042511      0.01706   -0.0022902       1.5968     0.013572       1.5832    0.0012779    -0.002497   1.7566e-05   -0.0025145      -8.2994      -5.8356            0       -69650       8392.3      -4890.3      -322.64       -69520      -3271.2      -464.75       -67108       4852.5            0            0       99.282      -10.796          100      -6.8705       957.16   2.9713e+05      -2484.8      -2.6281   4.1585e-06     -0.84224      -7978.3  -6.0368e+05   8.3923e+05       2.3092       1.2993            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -5            0      -0.4229     0.049096     0.035827     0.013269   -0.0024579       1.4932     0.012886       1.4803    0.0012037   -0.0025555   1.6699e-05   -0.0025722      -8.6138      -5.6016            0       -59578       6916.6      -3330.4      -346.26       -59514      -1967.3      -469.93       -57447       3947.6            0            0       99.333      -11.247          100       -6.622        925.7   2.7784e+05      -2516.9      -2.9058   4.2778e-06     -0.94135      -5297.8  -6.2889e+05   6.9166e+05       2.1723       1.2289            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -4            0     -0.35106      0.04038     0.030351     0.010029   -0.0026212       1.3863     0.012271        1.374    0.0011305    -0.002615   1.5984e-05   -0.0026309      -8.6938      -5.1511            0       -49457       5688.7      -2040.5      -369.28       -49435       -910.1       -475.3       -47719       3208.7            0            0       99.345      -12.231          100      -6.5616       896.59   2.5795e+05      -2551.8      -3.2978   4.4588e-06      -1.0804        -2629   -6.839e+05   5.6887e+05       1.9805       1.1577            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -3            0     -0.27891     0.033367     0.026015     0.007352   -0.0027802       1.2763      0.01175       1.2645    0.0010584   -0.0026744   1.6402e-05   -0.0026908      -8.3589      -4.4145            0       -39293       4700.8      -1022.1      -391.67       -39294      -100.78      -480.83       -37938       2624.1            0            0       99.292      -14.271          100      -6.8221       869.86   2.3749e+05      -2588.5      -3.8937   4.7606e-06      -1.2907      -712.99  -7.9801e+05   4.7008e+05       1.7053        1.086            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -2            0     -0.20652     0.027947     0.022699    0.0052478   -0.0029344       1.1633     0.011297        1.152   0.00098715   -0.0027361   1.5804e-05   -0.0027519      -7.3898      -3.3583            0       -29095       3937.2      -276.55       -413.4       -29103       459.64      -486.53       -28116       2178.6            0            0       99.097       -18.76          100      -7.7065       845.56   2.1647e+05      -2629.1      -4.9097   5.3253e-06      -1.6476       2801.8   -1.049e+06   3.9372e+05       1.3099        1.014            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -1            0     -0.13394     0.023978     0.020253    0.0037247   -0.0030838       1.0475     0.010861       1.0366   0.00091674   -0.0027992   1.4973e-05   -0.0028141      -5.5859      -2.0443            0       -18869         3378       195.33      -434.45       -18875       770.47      -492.38       -18263       1854.5            0            0       98.435      -30.818          100       -10.15        823.7   1.9491e+05      -2672.7      -7.0311   6.6035e-06      -2.3903       5507.7  -1.7232e+06    3.378e+05      0.77624      0.94173            0            0            0            0            0            0            0            0            0         5700            5            0  
