Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            1            0     0.011605     0.020288     0.017842    0.0024464   -0.0033674      0.80819     0.010605      0.79759   0.00077807    -0.002934   8.5398e-06   -0.0029425      0.57202     0.061623       9.2827       261.59        457.3       50.569      -75.904       262.51       102.75      -80.724        237.2       239.38            0            0       19.861       1022.4           40       60.229       125.99        24061      -443.61       68.707  -4.3447e-05       24.037       1745.8   5.7168e+07        18292    0.0088726      0.79735            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            2            0     0.084457     0.019949      0.01725    0.0026989   -0.0035012      0.68454     0.010258      0.67428   0.00070961   -0.0030056   3.0697e-06   -0.0030086       4.2336       1.2303        3.441       1903.7       449.66        -5.64       -78.92       1904.7       32.508      -81.728       1816.3       228.24            0            0       38.929       51.206           40        13.29       123.69        20380      -452.58       8.5908  -4.0896e-06       3.0542       2176.4   2.8633e+06        17987      0.42594      0.72555            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            3            0      0.15729      0.02066     0.017112    0.0035481   -0.0036295      0.55868      0.01004      0.54864   0.00064161    -0.003076   1.4462e-07   -0.0030761       7.6131       3.0193       2.5214       3545.4        465.7      -105.69      -81.811       3544.7      -77.614      -82.753       3392.5       225.44            0            0       39.659       20.866           40       7.4831        121.8        16633      -461.57       4.1593  -1.3441e-06       1.5051       2605.2   1.1668e+06        18628       1.1238      0.65422            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            4            0      0.23005     0.022307     0.017314    0.0049931   -0.0037521      0.43071    0.0098827      0.42083   0.00057397   -0.0031487  -3.7041e-06    -0.003145       10.313       4.9465       2.0849       5185.5       502.82      -249.45      -84.574       5180.7      -227.49      -83.797       4963.8       229.34            0            0       39.813       12.737           40       5.5384       120.32        12823      -471.11       2.5365  -4.5705e-07      0.93619       3031.7   7.1219e+05        20113       1.7083      0.58353            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            5            0      0.30269     0.024871     0.017839    0.0070316   -0.0038688      0.30077     0.009776      0.29099    0.0005066   -0.0032222  -7.0677e-06   -0.0032151        12.17       6.6958       1.8176       6822.8        560.6      -436.75      -87.205       6810.7      -416.92      -84.858       6528.3       239.73            0            0       39.866        9.409           40       4.6972       119.24       8954.5      -480.96       1.6969  -9.7066e-08      0.64057       3455.2   5.2612e+05        22424          2.1      0.51364            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            6            0      0.37515     0.028333     0.018674    0.0096592   -0.0039796      0.16901    0.0097153      0.15929   0.00043938   -0.0032961  -9.4843e-06   -0.0032867        13.24       8.1097       1.6327       8456.1       638.65      -667.37      -89.702       8432.5       -645.7      -85.936       8084.1        256.3            0            0       39.886       7.7686           40       4.3191       118.58       5031.7      -491.04       1.1854   3.5136e-08      0.45943       3875.4    4.344e+05        25546       2.3482      0.44471            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            7            0      0.44738      0.03266      0.01979      0.01287   -0.0040842     0.035587    0.0096965      0.02589   0.00037223   -0.0033714  -1.1829e-05   -0.0033595       13.698       9.1621       1.4951        10084       736.17      -941.02       -92.06        10044      -913.53      -87.029       9629.4       278.46            0            0       39.894       6.8763           40       4.1754       118.33       1059.5      -501.48      0.84243   4.4579e-08      0.33707       4291.6    3.845e+05        29447       2.5064      0.37688            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            8            0      0.51932     0.037816      0.02116     0.016655   -0.0041826    -0.099333    0.0097206     -0.10905   0.00030503   -0.0034461  -1.2361e-05   -0.0034337       13.733       9.8964       1.3877        11706        852.4      -1257.4      -94.278        11644      -1220.1      -88.136        11162       305.53            0            0       39.894       6.3661           40       4.1648       118.49      -2957.4         -512      0.59755  -2.2305e-08      0.24892       4703.4   3.5597e+05        34096       2.6097      0.31032            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            9            0      0.59093     0.043749     0.022743     0.021007   -0.0042746      -0.2356    0.0097739     -0.24537   0.00023768   -0.0035218  -1.2589e-05   -0.0035092       13.507       10.383       1.3009        13320       986.14        -1616      -96.352        13230        -1565      -89.256        12681        336.8            0            0       39.891       6.0676           40       4.2341       119.07      -7014.3      -522.81      0.41488  -1.4176e-07      0.18246       5110.2   3.3928e+05        39445       2.6791      0.24517            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           10            0      0.66215     0.050465     0.024554     0.025912   -0.0043601       -0.373    0.0099024     -0.38291   0.00017009   -0.0035975  -1.1524e-05    -0.003586       13.121       10.677       1.2289        14925       1137.5      -2016.6       -98.28        14800      -1947.9      -90.386        14183       371.64            0            0       39.884       5.9007           40       4.3583       120.05       -11105      -533.76       0.2742  -3.0034e-07      0.13063       5511.7   3.2995e+05        45501        2.727      0.18156            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           11            0      0.73294     0.057976     0.026618     0.031358   -0.0044391     -0.51132     0.010162     -0.52148   0.00010215   -0.0036695  -5.4852e-06    -0.003664       12.642       10.823       1.1681        16521       1306.8      -2458.5      -100.06        16352      -2368.2      -91.527        15667       409.49            0            0       39.875        5.821           40       4.5228       121.45       -15223      -544.28      0.16323   -4.898e-07     0.089158       5907.2   3.2549e+05        52273       2.7609      0.11964            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           12            0      0.80323     0.066365     0.029035     0.037331   -0.0045113     -0.65028     0.010652     -0.66093   3.3755e-05    -0.003741   2.1967e-06   -0.0037432       12.103       10.847       1.1158        18105       1495.9      -2941.3      -101.69        17885      -2825.5      -92.675        17132       449.82            0            0       39.864        5.808           40       4.7232       123.25       -19360      -554.87     0.074118  -7.0481e-07     0.055291       6296.3   3.2477e+05        59837       2.7854     0.059534            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           13            0      0.87299     0.075638     0.031825     0.043813   -0.0045768      -0.7897     0.011385     -0.80108   -3.519e-05   -0.0038069   1.6702e-05   -0.0038236       11.542       10.784       1.0703        19678       1704.9      -3464.3      -103.16        19396      -3319.2      -93.831        18575       492.22            0            0       39.851       5.8421           40       4.9518       125.46       -23511      -564.74    0.0015721  -9.4171e-07     0.027192       6678.5   3.2667e+05        68197       2.8034    0.0013725            0            0            0            0            0            0            0            0            0         5700            5            0  
