HRI Fuselage2
T1-75.0 m/s-TriUniform-Thick
Freestream speed = 75.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -12            0     -0.91325     0.097366     0.046861     0.050505   -0.0012064       2.1478     0.023065       2.1247    0.0017494   -0.0021757   1.1699e-05   -0.0021874      -9.3795      -8.9635            0       -72370       7715.7       -11132      -95.604       -71621      -9092.2      -246.19       -69218       2773.6            0            0       74.577      -7.0287           75      -6.0856       671.04    2.248e+05      -1330.9      -1.8596   3.7466e-06       -0.562       -13297  -3.9302e+05   5.7868e+05       2.6614       1.6983            0            0            0            0            0            0            0            0            0         5700            5            0  
          0          -11            0     -0.84488     0.089614     0.045866     0.043748   -0.0013952       2.0647     0.020549       2.0441    0.0016674   -0.0022214   1.8724e-05   -0.0022401       -9.428       -8.666            0       -66952       7101.4        -9372      -110.57       -66384        -7551      -248.44       -64141       2773.6            0            0       74.582      -7.2699           75      -6.0545       645.91    2.161e+05      -1334.6      -1.9357   3.8156e-06     -0.59041       -11866  -4.0651e+05   5.3261e+05       2.6297       1.6354            0            0            0            0            0            0            0            0            0         5700            5            0  
          0          -10            0     -0.77588     0.082825     0.045388     0.037438   -0.0015811       1.9788     0.019226       1.9595    0.0015868    -0.002278    1.534e-05   -0.0022934      -9.3677      -8.2514            0       -61484       6563.4        -7755      -125.29       -61065      -6140.7      -250.81       -58988       2773.6            0            0       74.576      -7.6352           75      -6.0933       621.96   2.0711e+05      -1345.4      -2.0247   3.8792e-06     -0.62339       -10418  -4.2694e+05   4.9226e+05       2.5915       1.5709            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -9            0     -0.70628     0.076302     0.044708     0.031594   -0.0017637       1.8885     0.017518        1.871    0.0015077   -0.0023296   1.7824e-05   -0.0023474      -9.2564      -7.7791            0       -55969       6046.5      -6282.6      -139.76       -55672      -4862.9       -253.3       -53766       2773.6            0            0       74.566      -8.0987           75      -6.1659        599.2   1.9767e+05      -1354.9      -2.1307   3.9401e-06     -0.66238      -8954.2  -4.5286e+05   4.5349e+05       2.5446       1.5049            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -8            0     -0.63614     0.070386     0.044147     0.026238   -0.0019429       1.7948      0.01611       1.7787    0.0014298   -0.0023841   1.8083e-05   -0.0024022      -9.0379      -7.2085            0       -50410       5577.7      -4956.7      -153.96       -50209      -3719.4       -255.9       -48481       2773.6            0            0       74.545      -8.7399           75      -6.3138       577.68   1.8786e+05      -1367.3      -2.2597   4.0024e-06     -0.70944      -7476.7  -4.8871e+05   4.1833e+05       2.4856       1.4375            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -7            0     -0.56549     0.065064     0.043676     0.021388   -0.0021185       1.6977     0.014925       1.6828    0.0013532   -0.0024387   1.9198e-05   -0.0024579      -8.6913      -6.5358            0       -44812         5156        -3779      -167.88       -44685      -2711.3      -258.61       -43140       2773.6            0            0       74.508      -9.6394           75      -6.5635        557.4   1.7769e+05      -1380.9      -2.4208    4.072e-06     -0.76774      -5987.3  -5.3901e+05    3.867e+05       2.4097       1.3689            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -6            0      -0.4944     0.059807     0.042747      0.01706   -0.0022902       1.5972     0.013989       1.5832    0.0012779   -0.0024954   1.9138e-05   -0.0025145      -8.2666      -5.8126            0       -39178       4739.3      -2750.8      -181.49       -39105      -1840.1      -261.42       -37749       2729.5            0            0       74.457      -10.839           75      -6.8975        538.4   1.6718e+05      -1396.9      -2.6281   4.1585e-06     -0.84224      -4487.8  -6.0607e+05   3.5545e+05       2.3092       1.2993            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -5            0      -0.4229     0.049292     0.036023     0.013269   -0.0024579       1.4935     0.013218       1.4803    0.0012037   -0.0025515   2.0702e-05   -0.0025722      -8.5796      -5.5794            0       -33513       3906.1      -1873.3      -194.77       -33477      -1106.6      -264.34       -32314       2220.5            0            0       74.496      -11.292           75      -6.6482       520.71   1.5632e+05      -1413.6      -2.9058   4.2778e-06     -0.94135        -2980   -6.314e+05   2.9296e+05       2.1723       1.2289            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -4            0     -0.35106     0.040577     0.030548     0.010029   -0.0026212       1.3866     0.012597        1.374    0.0011305   -0.0026113   1.9615e-05   -0.0026309      -8.6517      -5.1262            0       -27819       3215.5      -1147.8      -207.72       -27807      -511.93      -267.35       -26842       1804.9            0            0       74.504       -12.29           75      -6.5932       504.33   1.4513e+05      -1433.5      -3.2978   4.4588e-06      -1.0804      -1478.8  -6.8723e+05   2.4116e+05       1.9805       1.1577            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -3            0     -0.27891     0.033551     0.026199     0.007352   -0.0027802       1.2766     0.012048       1.2645    0.0010584   -0.0026715   1.9268e-05   -0.0026908      -8.3131      -4.3903            0       -22102       2658.8      -574.94      -220.31       -22103      -56.689      -270.47       -21340       1476.1            0            0       74.463       -14.35           75      -6.8593        489.3   1.3362e+05      -1454.5      -3.8937   4.7606e-06      -1.2907      -401.06  -8.0241e+05   1.9941e+05       1.7053        1.086            0            0            0            0            0            0            0            0            0         5700            5            0  
